player_id,level,attempt,completed,completionTime,deaths,retries
03261705-6b8d-462b-adf6-2eae44157115,level_-1,attempt_1,True,79.76744,1,0
0904d744-daba-4472-9804-cbcbfa685d1b,level_-1,attempt_1,True,127.3582,1,0
0904d744-daba-4472-9804-cbcbfa685d1b,level_-1,attempt_2,False,N/A,0,1 # No Data in Details
0b5dd22c-101a-4742-aa36-dba8d4744463,level_-1,attempt_1,True,41.27131,1,0
10364c51-503e-4b3b-b086-726f200c615d,level_-1,attempt_1,True,41.63678,0,0
13d34a6b-36b9-46ed-bf7b-71eca720c6b4,level_-1,attempt_1,True,67.59644,0,0
1df59965-14f7-4b83-9768-1f1ff51f7bd9,level_-1,attempt_1,True,36.12326,0,0
1f3561e4-3b78-4a5d-9cc0-faf0a327355d,level_-1,attempt_1,True,29.31715,0,0
24dd6802-53a8-4e47-b722-a7d2d219ede2,level_-1,attempt_1,True,37.03751,1,0
2779a8df-b9fd-4585-b0e3-c6ad8559be27,level_-1,attempt_1,True,77.73775,0,0
33be3228-ead9-47b5-b201-df22c343975b,level_-1,attempt_1,True,81.77085,0,0
351979e7-6867-478b-b0c1-d7fec4e9ca3a,level_-1,attempt_1,False,N/A,5,0
3611a890-02ce-43b5-b5e9-7018b19d3d78,level_-1,attempt_1,True,43.94028,0,0
3d91da83-23b3-4f59-91df-0e5ccf6017e7,level_-1,attempt_1,True,56.06731,0,0
3d91da83-23b3-4f59-91df-0e5ccf6017e7,level_-1,attempt_2,True,83.02499,0,1
3e18f8f4-b654-4327-b729-5ae4b0c91edd,level_-1,attempt_1,True,50.61312,0,0
3ea5c411-e6bf-466f-9682-a22ba29d44d6,level_-1,attempt_1,True,195.9696,1,0
3f00619f-3ad6-4632-a65f-f2486cae75c8,level_-1,attempt_1,False,N/A,0,0 # No Data in Details
42452701-737e-4881-ba8a-236ccb0c6378,level_-1,attempt_1,True,74.13377,3,0
42702413-622f-4cba-9c52-2f987a35d205,level_-1,attempt_1,False,N/A,1,0
48432053-6565-4445-8385-c821e2f19c64,level_-1,attempt_1,False,N/A,3,0
4a4b459f-0292-4f82-90b8-315a24446bbe,level_-1,attempt_1,False,N/A,3,0
531abb1f-9a47-4105-997e-1ff6475f27ec,level_-1,attempt_1,True,54.74297,0,0
56ae5e56-4a19-4969-90a6-ce03092eef52,level_-1,attempt_1,True,181.2126,4,0
5a5d4aaf-adcf-49de-b834-5ddf89dcfb5e,level_-1,attempt_1,True,33.06187,0,0
5a5ddf90-8821-4c19-b323-6c8392bc8e7a,level_-1,attempt_1,True,279.8196,12,0
6165d65d-d3ff-4790-935b-7060902f46f1,level_-1,attempt_1,True,57.77602,2,0
6a8d621e-7bd6-47e5-93e5-8489330daeed,level_-1,attempt_1,True,72.01706,1,0
6aa02fb8-6ba8-4dee-9072-0ade8af95222,level_-1,attempt_1,False,N/A,4,0
6c6f3d7c-6e4e-4a33-ac42-835f3de88d45,level_-1,attempt_1,False,N/A,2,0
6df57efa-47cd-4037-b511-96a5a5e9cb37,level_-1,attempt_1,True,219.1197,1,0
7000c17c-e56a-4b1b-afc9-d20572a9948d,level_-1,attempt_1,False,N/A,0,0
76054c73-2e71-4f10-afe6-4086bf5ce2b9,level_-1,attempt_1,True,83.39095,0,0
79729acc-c119-43b3-833d-ba406b9d20ef,level_-1,attempt_1,True,89.53187,0,0
7c6ecf02-53bb-4f5d-b69a-32a96e85f926,level_-1,attempt_1,True,81.61556,0,0
7c6ecf02-53bb-4f5d-b69a-32a96e85f926,level_-1,attempt_2,True,47.98167,0,1
81a14e3b-6ad8-41ce-990e-5d0f15f3de1e,level_-1,attempt_1,True,41.21048,0,0
82cac3df-c340-4d15-802a-40ab6a105037,level_-1,attempt_1,True,82.7312,2,0
8e390ebb-9135-4e0b-8ed7-bf22428ed2cf,level_-1,attempt_1,True,45.05738,0,0
90ea30c5-f1ff-4efd-874c-656c486de20e,level_-1,attempt_1,False,N/A,3,0
94ca2958-0f4e-4e01-9f1f-ea459fa25270,level_-1,attempt_1,False,N/A,1,0
9c2f9b72-e19e-4ab7-b894-59d249719149,level_-1,attempt_1,False,N/A,0,0
9cc70a20-4a0c-496d-9c04-5bf12e54a163,level_-1,attempt_1,True,40.31303,0,0
a4f8d054-1e3a-4f89-9596-412f8849c12b,level_-1,attempt_1,False,N/A,2,0
a65f5dbb-3674-4925-9bec-8c41f45dba68,level_-1,attempt_1,True,94.37633,2,0
a787ea31-86d4-4ff8-8466-5f547650f272,level_-1,attempt_1,True,49.93751,0,0
a787ea31-86d4-4ff8-8466-5f547650f272,level_-1,attempt_2,True,217.9146,2,1
a9175070-5639-4bcd-88b5-1c5b843851cd,level_-1,attempt_1,False,N/A,2,0
aaf63ca5-b863-49ed-a695-abd938f859cd,level_-1,attempt_1,False,N/A,2,0
b06d5417-5dc3-49ac-ac24-cf111ceb4560,level_-1,attempt_1,True,253.9681,3,0
b1daefa3-a980-448e-879f-3e5ae687df83,level_-1,attempt_1,True,194.8576,5,0
b22fe196-5a85-4da5-8636-3b0bf7a09fee,level_-1,attempt_1,True,137.3457,1,0
b64cbf48-29e8-42a9-a317-4ed2050ded76,level_-1,attempt_1,True,78.41341,1,0
b8ddcabf-2d89-4644-9308-1d61bfd01e31,level_-1,attempt_1,True,34.54882,0,0
bf279133-c03e-4a75-b50e-1fe5b5598640,level_-1,attempt_1,False,N/A,6,0
c2293635-1184-4d20-8fd6-c2d463f4c69c,level_-1,attempt_1,True,83.72282,0,0
c6c6ca1b-15d1-44d2-b224-b8f2a2e4ebce,level_-1,attempt_1,True,46.50197,1,0
c7b1838e-3b3a-4b4d-9b47-b04687646fb0,level_-1,attempt_1,True,32.56955,0,0
c7b1838e-3b3a-4b4d-9b47-b04687646fb0,level_-1,attempt_2,True,21.75114,0,1
c8d4a669-5d23-4384-afdd-1bb433ea6bb5,level_-1,attempt_1,False,N/A,2,0
c90d513b-639a-48f0-b52b-0c47ec11fa6d,level_-1,attempt_1,True,39.41307,5,0
cfd24d34-ee76-4ed3-9177-cf21931f63ab,level_-1,attempt_1,True,31.76686,3,0
d3f85456-3c28-4637-a73c-c4681fdfef8c,level_-1,attempt_1,True,41.31997,0,0
d431f6df-1e57-45c3-81e8-cf712d635f60,level_-1,attempt_1,True,87.23732,2,0
db07761c-7837-47fe-8eaa-cddb7cdcfa9b,level_-1,attempt_1,True,35.90717,0,0
db7392de-7e8e-4f74-86a1-7e2f40746b46,level_-1,attempt_1,False,N/A,2,0
e01a5af1-21c0-4131-8bd7-47899fd63f9a,level_-1,attempt_1,False,N/A,1,0
e242a01d-5a5e-4eea-a4d0-52b2d657b945,level_-1,attempt_1,True,83.60366,0,0
e9796185-8e24-4709-8b9e-d1382d82f9fa,level_-1,attempt_1,True,86.95313,1,0
ea6cc638-3582-438d-8533-babe474facb2,level_-1,attempt_1,True,77.66812,0,0
ea818968-4b32-470d-ae9b-6f20e372d2f6,level_-1,attempt_1,True,186.0531,5,0
edb97566-ee7a-447e-bb01-bca9c6bb71c2,level_-1,attempt_1,False,N/A,1,0
f2a5b517-3f30-4ee5-a14d-f6d9f00b0749,level_-1,attempt_1,True,133.7846,0,0
f515b948-6e64-45d0-8692-474559f0dd99,level_-1,attempt_1,False,N/A,6,0
f559e99a-cc26-4cc1-9b00-f2a8697623ed,level_-1,attempt_1,False,N/A,0,0
f61b40d0-d7e0-42e1-a12e-00e208c9d2e8,level_-1,attempt_1,True,744.3018,22,0
f714d08f-254d-4a9c-b533-887e519f1607,level_-1,attempt_1,True,170.7912,1,0
