player_id,level,attempt,completed,completionTime,deaths,retries
cb06f846-a2ca-4221-9786-725f5d403b1b,level_1,attempt_1,False,N/A,3,0
cb26ae86-daf5-44eb-81f3-23f7a8e5fb8a,level_1,attempt_1,False,N/A,3,0
cd5a52de-c49b-4de6-9547-0f889294631a,level_1,attempt_1,False,N/A,0,0
cd5a52de-c49b-4de6-9547-0f889294631a,level_1,attempt_2,False,N/A,0,1
cd5a52de-c49b-4de6-9547-0f889294631a,level_1,attempt_3,False,N/A,6,2
cd5a52de-c49b-4de6-9547-0f889294631a,level_1,attempt_4,False,N/A,3,3
cd5a52de-c49b-4de6-9547-0f889294631a,level_1,attempt_5,False,N/A,0,4
cd5a52de-c49b-4de6-9547-0f889294631a,level_1,attempt_6,False,N/A,0,5
ce4cffce-9ec9-478c-bfca-83be6b518104,level_1,attempt_1,False,N/A,4,0
ce4e7363-186a-4f0e-9244-cbee937149b6,level_1,attempt_1,False,N/A,0,0
d02b89dc-c010-409b-b27d-d9f98994a74a,level_1,attempt_1,False,N/A,3,0
d3f85456-3c28-4637-a73c-c4681fdfef8c,level_1,attempt_1,False,N/A,15,0
d431f6df-1e57-45c3-81e8-cf712d635f60,level_1,attempt_1,False,N/A,1,0
d781fd54-6fad-4316-9cc3-b7020b0d53a2,level_1,attempt_1,False,N/A,0,0
db07761c-7837-47fe-8eaa-cddb7cdcfa9b,level_1,attempt_1,True,162.4999,4,0
df611b36-af70-46e2-96be-9e4e8c8d207e,level_1,attempt_1,False,N/A,12,0
e01a5af1-21c0-4131-8bd7-47899fd63f9a,level_1,attempt_1,False,N/A,2,0
e01a5af1-21c0-4131-8bd7-47899fd63f9a,level_1,attempt_2,False,N/A,4,1
e01a5af1-21c0-4131-8bd7-47899fd63f9a,level_1,attempt_3,False,N/A,0,0
e01a5af1-21c0-4131-8bd7-47899fd63f9a,level_1,attempt_4,False,N/A,1,3
e01a5af1-21c0-4131-8bd7-47899fd63f9a,level_1,attempt_5,False,N/A,3,4
e01a5af1-21c0-4131-8bd7-47899fd63f9a,level_1,attempt_6,False,N/A,0,5
e01a5af1-21c0-4131-8bd7-47899fd63f9a,level_1,attempt_7,False,N/A,0,6
e01a5af1-21c0-4131-8bd7-47899fd63f9a,level_1,attempt_8,False,N/A,5,7
e242a01d-5a5e-4eea-a4d0-52b2d657b945,level_1,attempt_1,True,87.30587,0,0
e6237141-a99d-45c6-9c26-788ff55ef99f,level_1,attempt_1,False,N/A,1,0
e6287e92-d81d-4bfc-9f11-69664e678a36,level_1,attempt_1,True,51.76182,6,0
e9796185-8e24-4709-8b9e-d1382d82f9fa,level_1,attempt_1,False,N/A,5,0
ea818968-4b32-470d-ae9b-6f20e372d2f6,level_1,attempt_1,False,N/A,2,0
edb97566-ee7a-447e-bb01-bca9c6bb71c2,level_1,attempt_1,False,N/A,2,0
f2a5b517-3f30-4ee5-a14d-f6d9f00b0749,level_1,attempt_1,True,624.3419,8,0
f2f1a417-6cf9-4dd6-9bc7-873bda69335f,level_1,attempt_1,False,N/A,6,0
f4db2e83-8725-4dba-b249-ca308cc281b2,level_1,attempt_1,False,N/A,7,0
f61b40d0-d7e0-42e1-a12e-00e208c9d2e8,level_1,attempt_1,False,N/A,0,0
